2026-08-14 06:18:11,599 | INFO | MainThread | logging to runs/baseline_decision_tree/run_20260814_061811_decision_tree_sklearn.log
2026-08-14 06:18:11,734 | INFO | MainThread | split_seed=42 train=1853 test_holdout=500 dev=504
2026-08-14 06:18:22,853 | INFO | MainThread | engineered 28 structural features: ['age_restricted__adult_sex_toys', 'age_restricted__alcohol', 'age_restricted__betting_gambling', 'age_restricted__energy_caffeine', 'age_restricted__other_restricted', 'age_restricted__skin_gambling', 'age_restricted__thc_cbd', 'age_restricted__vaping_nicotine', 'description_has_disclosure_lang', 'disclosure_only_in_description', 'disclosure_relative_position', 'guarantee_promise_hit', 'has_product_page', 'hfss__candy_subscription_brand', 'hfss__energy_drink_brand', 'hfss__misc_candy_soda', 'imperative_verb_count', 'imperative_verb_density', 'imperative_zero', 'numeric_comparative_claim_hit', 'official_disclosure_false', 'official_disclosure_missing', 'official_disclosure_true', 'superlative_hit', 'transcript_char_len', 'transcript_has_disclosure_lang', 'transcript_near_empty', 'transcript_word_len']
2026-08-14 06:18:30,539 | INFO | MainThread |   grid estimator=tree params={'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': None} -> dev_st3_macro_f1=0.365
2026-08-14 06:18:30,904 | INFO | MainThread |   grid estimator=tree params={'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': None} -> dev_st3_macro_f1=0.363
2026-08-14 06:18:31,268 | INFO | MainThread |   grid estimator=tree params={'max_depth': 4, 'min_samples_leaf': 5, 'n_estimators': None} -> dev_st3_macro_f1=0.361
2026-08-14 06:18:31,680 | INFO | MainThread |   grid estimator=tree params={'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': None} -> dev_st3_macro_f1=0.389
2026-08-14 06:18:32,097 | INFO | MainThread |   grid estimator=tree params={'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': None} -> dev_st3_macro_f1=0.391
2026-08-14 06:18:32,514 | INFO | MainThread |   grid estimator=tree params={'max_depth': 6, 'min_samples_leaf': 5, 'n_estimators': None} -> dev_st3_macro_f1=0.368
2026-08-14 06:18:33,019 | INFO | MainThread |   grid estimator=tree params={'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': None} -> dev_st3_macro_f1=0.386
2026-08-14 06:18:33,396 | INFO | MainThread |   grid estimator=tree params={'max_depth': 8, 'min_samples_leaf': 2, 'n_estimators': None} -> dev_st3_macro_f1=0.387
