2026-08-14 06:27:44,881 | INFO | MainThread | logging to runs/baseline_decision_tree/run_20260814_062744_mlp_pytorch_scratch.log
2026-08-14 06:27:44,920 | INFO | MainThread | device=cuda
2026-08-14 06:27:45,129 | INFO | MainThread | split_seed=42 train=1853 test_holdout=500 dev=504
2026-08-14 06:28:02,312 | INFO | MainThread | pos_weight per label: {'age_restricted_or_prohibited_product': 45.31999969482422, 'direct_exhortation': 6.690000057220459, 'hfss_food_marketing': 50.0, 'inadequate_disclosure': 2.880000114440918, 'insufficient_context': 50.0, 'misleading_claim': 1.0, 'no_flag': 3.559999942779541, 'undisclosed_advertising': 5.5}
2026-08-14 06:28:05,487 | INFO | MainThread | epoch 10: train_loss=0.8125 dev_st3_macro_f1=0.317
2026-08-14 06:28:05,513 | INFO | MainThread | epoch 20: train_loss=0.6440 dev_st3_macro_f1=0.403
2026-08-14 06:28:05,539 | INFO | MainThread | epoch 30: train_loss=0.5270 dev_st3_macro_f1=0.423
2026-08-14 06:28:05,568 | INFO | MainThread | epoch 40: train_loss=0.4329 dev_st3_macro_f1=0.422
2026-08-14 06:28:05,594 | INFO | MainThread | epoch 50: train_loss=0.3730 dev_st3_macro_f1=0.417
2026-08-14 06:28:05,620 | INFO | MainThread | epoch 60: train_loss=0.3246 dev_st3_macro_f1=0.411
2026-08-14 06:28:05,651 | INFO | MainThread | epoch 70: train_loss=0.2941 dev_st3_macro_f1=0.438
2026-08-14 06:28:05,678 | INFO | MainThread | epoch 80: train_loss=0.2629 dev_st3_macro_f1=0.429
2026-08-14 06:28:05,704 | INFO | MainThread | epoch 90: train_loss=0.2485 dev_st3_macro_f1=0.429
2026-08-14 06:28:05,730 | INFO | MainThread | epoch 100: train_loss=0.2277 dev_st3_macro_f1=0.424
2026-08-14 06:28:05,756 | INFO | MainThread | epoch 110: train_loss=0.2141 dev_st3_macro_f1=0.432
2026-08-14 06:28:05,782 | INFO | MainThread | epoch 120: train_loss=0.2006 dev_st3_macro_f1=0.426
2026-08-14 06:28:05,807 | INFO | MainThread | epoch 130: train_loss=0.1894 dev_st3_macro_f1=0.426
2026-08-14 06:28:05,834 | INFO | MainThread | epoch 140: train_loss=0.1775 dev_st3_macro_f1=0.427
2026-08-14 06:28:05,862 | INFO | MainThread | epoch 150: train_loss=0.1687 dev_st3_macro_f1=0.430
2026-08-14 06:28:05,888 | INFO | MainThread | epoch 160: train_loss=0.1612 dev_st3_macro_f1=0.418
2026-08-14 06:28:05,913 | INFO | MainThread | epoch 170: train_loss=0.1531 dev_st3_macro_f1=0.416
2026-08-14 06:28:05,940 | INFO | MainThread | epoch 180: train_loss=0.1438 dev_st3_macro_f1=0.411
2026-08-14 06:28:05,966 | INFO | MainThread | epoch 190: train_loss=0.1406 dev_st3_macro_f1=0.411
2026-08-14 06:28:05,992 | INFO | MainThread | epoch 200: train_loss=0.1350 dev_st3_macro_f1=0.414
2026-08-14 06:28:06,018 | INFO | MainThread | epoch 210: train_loss=0.1265 dev_st3_macro_f1=0.401
2026-08-14 06:28:06,044 | INFO | MainThread | epoch 220: train_loss=0.1238 dev_st3_macro_f1=0.395
