2026-08-14 06:29:49,541 | INFO | MainThread | logging to runs/baseline_decision_tree/run_20260814_062949_mlp_pytorch_scratch.log
2026-08-14 06:29:49,577 | INFO | MainThread | device=cuda
2026-08-14 06:29:49,758 | INFO | MainThread | split_seed=42 train=1853 test_holdout=500 dev=504
2026-08-14 06:30:06,961 | INFO | MainThread | pos_weight per label: {'age_restricted_or_prohibited_product': 45.31999969482422, 'direct_exhortation': 6.690000057220459, 'hfss_food_marketing': 50.0, 'inadequate_disclosure': 2.880000114440918, 'insufficient_context': 50.0, 'misleading_claim': 1.0, 'no_flag': 3.559999942779541, 'undisclosed_advertising': 5.5}
2026-08-14 06:30:09,357 | INFO | MainThread | epoch 20: train_loss=1.0049 dev_st3_macro_f1=0.219
2026-08-14 06:30:09,399 | INFO | MainThread | epoch 40: train_loss=0.9338 dev_st3_macro_f1=0.360
2026-08-14 06:30:09,442 | INFO | MainThread | epoch 60: train_loss=0.8769 dev_st3_macro_f1=0.330
2026-08-14 06:30:09,483 | INFO | MainThread | epoch 80: train_loss=0.8127 dev_st3_macro_f1=0.408
2026-08-14 06:30:09,525 | INFO | MainThread | epoch 100: train_loss=0.7646 dev_st3_macro_f1=0.450
2026-08-14 06:30:09,573 | INFO | MainThread | epoch 120: train_loss=0.7391 dev_st3_macro_f1=0.452
2026-08-14 06:30:09,616 | INFO | MainThread | epoch 140: train_loss=0.6921 dev_st3_macro_f1=0.462
2026-08-14 06:30:09,656 | INFO | MainThread | epoch 160: train_loss=0.6581 dev_st3_macro_f1=0.447
2026-08-14 06:30:09,700 | INFO | MainThread | epoch 180: train_loss=0.6547 dev_st3_macro_f1=0.463
2026-08-14 06:30:09,741 | INFO | MainThread | epoch 200: train_loss=0.6297 dev_st3_macro_f1=0.462
2026-08-14 06:30:09,783 | INFO | MainThread | epoch 220: train_loss=0.6382 dev_st3_macro_f1=0.467
2026-08-14 06:30:09,825 | INFO | MainThread | epoch 240: train_loss=0.6182 dev_st3_macro_f1=0.470
2026-08-14 06:30:09,871 | INFO | MainThread | epoch 260: train_loss=0.6353 dev_st3_macro_f1=0.462
2026-08-14 06:30:09,912 | INFO | MainThread | epoch 280: train_loss=0.5889 dev_st3_macro_f1=0.462
2026-08-14 06:30:09,954 | INFO | MainThread | epoch 300: train_loss=0.5946 dev_st3_macro_f1=0.475
2026-08-14 06:30:09,995 | INFO | MainThread | epoch 320: train_loss=0.5813 dev_st3_macro_f1=0.461
2026-08-14 06:30:10,036 | INFO | MainThread | epoch 340: train_loss=0.5816 dev_st3_macro_f1=0.455
2026-08-14 06:30:10,078 | INFO | MainThread | epoch 360: train_loss=0.5610 dev_st3_macro_f1=0.463
2026-08-14 06:30:10,119 | INFO | MainThread | epoch 380: train_loss=0.5781 dev_st3_macro_f1=0.462
2026-08-14 06:30:10,163 | INFO | MainThread | epoch 400: train_loss=0.5497 dev_st3_macro_f1=0.469
2026-08-14 06:30:10,204 | INFO | MainThread | epoch 420: train_loss=0.5551 dev_st3_macro_f1=0.479
2026-08-14 06:30:10,245 | INFO | MainThread | epoch 440: train_loss=0.5472 dev_st3_macro_f1=0.480
2026-08-14 06:30:10,287 | INFO | MainThread | epoch 460: train_loss=0.5411 dev_st3_macro_f1=0.472
2026-08-14 06:30:10,328 | INFO | MainThread | epoch 480: train_loss=0.5542 dev_st3_macro_f1=0.476
2026-08-14 06:30:10,368 | INFO | MainThread | epoch 500: train_loss=0.5364 dev_st3_macro_f1=0.481
2026-08-14 06:30:10,407 | INFO | MainThread | epoch 520: train_loss=0.5310 dev_st3_macro_f1=0.474
2026-08-14 06:30:10,447 | INFO | MainThread | epoch 540: train_loss=0.5293 dev_st3_macro_f1=0.467
