2026-08-14 06:26:52,137 | INFO | MainThread | logging to runs/baseline_decision_tree/run_20260814_062652_mlp_pytorch_scratch.log
2026-08-14 06:26:52,175 | INFO | MainThread | device=cuda
2026-08-14 06:26:52,367 | INFO | MainThread | split_seed=42 train=1853 test_holdout=500 dev=504
2026-08-14 06:27:09,301 | INFO | MainThread | pos_weight per label: {'age_restricted_or_prohibited_product': 45.31999969482422, 'direct_exhortation': 6.690000057220459, 'hfss_food_marketing': 50.0, 'inadequate_disclosure': 2.880000114440918, 'insufficient_context': 50.0, 'misleading_claim': 1.0, 'no_flag': 3.559999942779541, 'undisclosed_advertising': 5.5}
2026-08-14 06:27:11,795 | INFO | MainThread | epoch 20: train_loss=0.5599 dev_st3_macro_f1=0.386
2026-08-14 06:27:11,844 | INFO | MainThread | epoch 40: train_loss=0.3061 dev_st3_macro_f1=0.429
2026-08-14 06:27:11,893 | INFO | MainThread | epoch 60: train_loss=0.1787 dev_st3_macro_f1=0.424
2026-08-14 06:27:11,941 | INFO | MainThread | epoch 80: train_loss=0.1315 dev_st3_macro_f1=0.378
2026-08-14 06:27:11,988 | INFO | MainThread | epoch 100: train_loss=0.0961 dev_st3_macro_f1=0.373
2026-08-14 06:27:12,036 | INFO | MainThread | epoch 120: train_loss=0.0802 dev_st3_macro_f1=0.392
2026-08-14 06:27:12,083 | INFO | MainThread | epoch 140: train_loss=0.0717 dev_st3_macro_f1=0.380
2026-08-14 06:27:12,130 | INFO | MainThread | epoch 160: train_loss=0.0587 dev_st3_macro_f1=0.386
2026-08-14 06:27:12,177 | INFO | MainThread | epoch 180: train_loss=0.0601 dev_st3_macro_f1=0.379
2026-08-14 06:27:12,225 | INFO | MainThread | epoch 200: train_loss=0.0509 dev_st3_macro_f1=0.362
2026-08-14 06:27:12,272 | INFO | MainThread | epoch 220: train_loss=0.0473 dev_st3_macro_f1=0.362
2026-08-14 06:27:12,319 | INFO | MainThread | epoch 240: train_loss=0.0403 dev_st3_macro_f1=0.356
2026-08-14 06:27:12,367 | INFO | MainThread | epoch 260: train_loss=0.0395 dev_st3_macro_f1=0.347
2026-08-14 06:27:12,416 | INFO | MainThread | epoch 280: train_loss=0.0371 dev_st3_macro_f1=0.362
2026-08-14 06:27:12,462 | INFO | MainThread | epoch 300: train_loss=0.0329 dev_st3_macro_f1=0.375
2026-08-14 06:27:12,516 | INFO | MainThread | epoch 320: train_loss=0.0328 dev_st3_macro_f1=0.368
2026-08-14 06:27:12,568 | INFO | MainThread | epoch 340: train_loss=0.0306 dev_st3_macro_f1=0.369
2026-08-14 06:27:12,614 | INFO | MainThread | epoch 360: train_loss=0.0300 dev_st3_macro_f1=0.371
2026-08-14 06:27:12,661 | INFO | MainThread | epoch 380: train_loss=0.0279 dev_st3_macro_f1=0.379
2026-08-14 06:27:12,716 | INFO | MainThread | epoch 400: train_loss=0.0281 dev_st3_macro_f1=0.374
2026-08-14 06:27:12,763 | INFO | MainThread | epoch 420: train_loss=0.0283 dev_st3_macro_f1=0.370
2026-08-14 06:27:12,809 | INFO | MainThread | epoch 440: train_loss=0.0253 dev_st3_macro_f1=0.379
