2026-08-17 21:57:47,333 | INFO | MainThread | logging to runs/run_20260817_215747_lora_train_st1_classifier_FacebookAI_roberta-base.log
2026-08-17 21:57:47,334 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 2, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/st1-classifier-roberta-undersample2-oversample3', 'no_wandb': True} device=cuda
2026-08-17 21:57:47,538 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=2004515552 train=1853 test_holdout=500
2026-08-17 21:57:47,540 | INFO | MainThread | train=1853 dist=digital_content_or_services=857 (46.2%), none=28 (1.5%), other=1 (0.1%), physical_goods=870 (47.0%), physical_services=97 (5.2%)
2026-08-17 21:57:47,541 | INFO | MainThread | dev=504 dist=digital_content_or_services=248, none=14, other=0, physical_goods=218, physical_services=24
2026-08-17 21:57:47,544 | INFO | MainThread | undersampled majority st1 labels ['digital_content_or_services', 'physical_goods', 'physical_services'] to 1/2: train now 940 instances
2026-08-17 21:57:47,544 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 998 instances
2026-08-17 21:57:47,922 | INFO | MainThread | class_weight: digital_content_or_services=2.332, none=11.881, other=50.000, physical_goods=2.294, physical_services=20.792
2026-08-17 21:59:12,135 | INFO | MainThread | epoch 1: mean train loss = 1.5392
2026-08-17 21:59:26,692 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.038, macro_f1=0.020, loss=1.398
2026-08-17 21:59:26,692 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.000, none=0.055, other=0.000, physical_goods=0.045, physical_services=0.000
2026-08-17 21:59:26,800 | INFO | MainThread | epoch 1: new best macro_f1=0.020, saved to runs/st1-classifier-roberta-undersample2-oversample3/best
2026-08-17 22:00:28,866 | INFO | MainThread | epoch 2: mean train loss = 1.3303
2026-08-17 22:00:43,020 | INFO | MainThread | epoch 2 dev metrics: accuracy=0.524, macro_f1=0.380, loss=1.058
2026-08-17 22:00:43,020 | INFO | MainThread | epoch 2 dev metrics per-label F1: digital_content_or_services=0.628, none=0.117, other=0.000, physical_goods=0.647, physical_services=0.509
2026-08-17 22:00:43,139 | INFO | MainThread | epoch 2: new best macro_f1=0.380, saved to runs/st1-classifier-roberta-undersample2-oversample3/best
2026-08-17 22:01:45,993 | INFO | MainThread | epoch 3: mean train loss = 0.9028
2026-08-17 22:01:59,509 | INFO | MainThread | epoch 3 dev metrics: accuracy=0.808, macro_f1=0.542, loss=0.584
2026-08-17 22:01:59,509 | INFO | MainThread | epoch 3 dev metrics per-label F1: digital_content_or_services=0.838, none=0.340, other=0.000, physical_goods=0.836, physical_services=0.698
2026-08-17 22:01:59,610 | INFO | MainThread | epoch 3: new best macro_f1=0.542, saved to runs/st1-classifier-roberta-undersample2-oversample3/best
2026-08-17 22:03:13,908 | INFO | MainThread | epoch 4: mean train loss = 0.7034
2026-08-17 22:03:30,857 | INFO | MainThread | epoch 4 dev metrics: accuracy=0.808, macro_f1=0.529, loss=0.549
2026-08-17 22:03:30,857 | INFO | MainThread | epoch 4 dev metrics per-label F1: digital_content_or_services=0.839, none=0.333, other=0.000, physical_goods=0.837, physical_services=0.638
2026-08-17 22:04:31,569 | INFO | MainThread | epoch 5: mean train loss = 0.6093
2026-08-17 22:04:41,245 | INFO | MainThread | epoch 5 dev metrics: accuracy=0.817, macro_f1=0.540, loss=0.551
2026-08-17 22:04:41,246 | INFO | MainThread | epoch 5 dev metrics per-label F1: digital_content_or_services=0.857, none=0.333, other=0.000, physical_goods=0.844, physical_services=0.667
2026-08-17 22:04:41,456 | INFO | MainThread | saved final epoch adapter to runs/st1-classifier-roberta-undersample2-oversample3/last (best dev macro_f1=0.542)
2026-08-17 22:04:41,456 | INFO | MainThread | reloading best-dev checkpoint from runs/st1-classifier-roberta-undersample2-oversample3/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-17 22:04:51,019 | INFO | MainThread | test holdout metrics: accuracy=0.782, macro_f1=0.474, loss=0.636
2026-08-17 22:04:51,019 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.797, none=0.190, other=0.000, physical_goods=0.843, physical_services=0.542
