2026-08-03 19:32:23,698 | INFO | MainThread | logging to runs/run_20260803_193223_full_gpt-5.4.log
2026-08-03 19:32:23,699 | INFO | MainThread | config: target=runs/prompt_tuning/run1/batch_iter7.jsonl model=gpt-5.4 context=full sample_size=None max_concurrency=8 out=runs/submission_gpt_20260803_193223.jsonl
2026-08-03 19:32:28,891 | INFO | MainThread | wrote 10 predictions to runs/submission_gpt_20260803_193223.jsonl
2026-08-03 19:32:28,891 | INFO | MainThread | copied predictions to submission_gpt.jsonl (canonical submission file)
2026-08-03 19:32:28,891 | INFO | MainThread | wrote 9 misclassified instance(s) to runs/submission_gpt_error_20260803_193223.jsonl
2026-08-03 19:32:28,891 | INFO | MainThread | === Distinct gold labels observed, by tier ===
2026-08-03 19:32:28,891 | INFO | MainThread | [ST1 - commercial type]     ['digital_content_or_services', 'none', 'physical_goods', 'physical_services']
2026-08-03 19:32:28,891 | INFO | MainThread | [ST2 - product category]    ['apps', 'creator_community', 'education', 'fashion', 'hardware_electronics', 'other']
2026-08-03 19:32:28,892 | INFO | MainThread | [ST3 - compliance flags]    ['direct_exhortation', 'inadequate_disclosure', 'misleading_claim', 'no_flag', 'undisclosed_advertising']
2026-08-03 19:32:28,892 | INFO | MainThread | Evaluation:
2026-08-03 19:32:28,892 | INFO | MainThread |   st1_macro_f1: 0.667
2026-08-03 19:32:28,892 | INFO | MainThread |   st2_macro_f1: 0.426
2026-08-03 19:32:28,892 | INFO | MainThread |   st3_macro_f1: 0.658
2026-08-03 19:32:28,892 | INFO | MainThread |   st3_family_macro_f1: 0.797
2026-08-03 19:32:28,892 | INFO | MainThread |   mean_macro_f1: 0.583
