2026-08-18 00:38:34,933 | INFO | MainThread | logging to runs/run_20260818_003834_lora_train_st1_classifier_FacebookAI_roberta-base.log
2026-08-18 00:38:34,933 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'truncation_side': 'left', 'epochs': 1, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 1, 'oversample_first': False, 'sample_size': 32, 'test_holdout': 8, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': '/tmp/smoke_trunc', 'no_wandb': True} device=cuda
2026-08-18 00:38:35,071 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=926678538 train=2345 test_holdout=8
2026-08-18 00:38:35,073 | INFO | MainThread | train=32 dist=digital_content_or_services=12 (37.5%), none=0 (0.0%), other=0 (0.0%), physical_goods=17 (53.1%), physical_services=3 (9.4%)
2026-08-18 00:38:35,073 | INFO | MainThread | dev=32 dist=digital_content_or_services=16, none=3, other=0, physical_goods=13, physical_services=0
2026-08-18 00:38:35,073 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 32 instances
2026-08-18 00:38:35,168 | INFO | MainThread | class_weight: digital_content_or_services=2.667, none=32.000, other=32.000, physical_goods=1.882, physical_services=10.667
2026-08-18 00:38:37,208 | INFO | MainThread | epoch 1: mean train loss = 1.5839
2026-08-18 00:38:37,554 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.500, macro_f1=0.133, loss=1.520
2026-08-18 00:38:37,554 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.667, none=0.000, other=0.000, physical_goods=0.000, physical_services=0.000
2026-08-18 00:38:37,659 | INFO | MainThread | epoch 1: new best macro_f1=0.133, saved to /tmp/smoke_trunc/best
2026-08-18 00:38:37,852 | INFO | MainThread | saved final epoch adapter to /tmp/smoke_trunc/last (best dev macro_f1=0.133)
2026-08-18 00:38:37,852 | INFO | MainThread | reloading best-dev checkpoint from /tmp/smoke_trunc/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-18 00:38:38,355 | INFO | MainThread | test holdout metrics: accuracy=0.500, macro_f1=0.133, loss=1.495
2026-08-18 00:38:38,355 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.667, none=0.000, other=0.000, physical_goods=0.000, physical_services=0.000
