2026-08-18 01:45:27,982 | INFO | MainThread | logging to runs/run_20260818_014527_lora_train_st1_classifier_FacebookAI_roberta-base.log
2026-08-18 01:45:27,982 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'truncation_side': 'left', 'page_token_budget': None, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.2, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 1, 'oversample_first': False, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/st1-classifier-roberta-dropout2', 'no_wandb': True} device=cuda
2026-08-18 01:45:28,121 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1890579040 train=1853 test_holdout=500
2026-08-18 01:45:28,123 | INFO | MainThread | train=1853 dist=digital_content_or_services=850 (45.9%), none=29 (1.6%), other=2 (0.1%), physical_goods=875 (47.2%), physical_services=97 (5.2%)
2026-08-18 01:45:28,123 | INFO | MainThread | dev=504 dist=digital_content_or_services=248, none=14, other=0, physical_goods=218, physical_services=24
2026-08-18 01:45:28,124 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 1915 instances
2026-08-18 01:45:28,329 | INFO | MainThread | class_weight: digital_content_or_services=2.253, none=22.011, other=50.000, physical_goods=2.189, physical_services=19.742
2026-08-18 01:46:47,390 | INFO | MainThread | epoch 1: mean train loss = 1.3767
2026-08-18 01:46:56,423 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.839, macro_f1=0.543, loss=0.512
2026-08-18 01:46:56,423 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.865, none=0.280, other=0.000, physical_goods=0.890, physical_services=0.682
2026-08-18 01:46:56,539 | INFO | MainThread | epoch 1: new best macro_f1=0.543, saved to runs/st1-classifier-roberta-dropout2/best
2026-08-18 01:48:03,615 | INFO | MainThread | epoch 2: mean train loss = 0.7114
2026-08-18 01:48:11,819 | INFO | MainThread | epoch 2 dev metrics: accuracy=0.855, macro_f1=0.567, loss=0.428
2026-08-18 01:48:11,819 | INFO | MainThread | epoch 2 dev metrics per-label F1: digital_content_or_services=0.884, none=0.381, other=0.000, physical_goods=0.885, physical_services=0.683
2026-08-18 01:48:11,953 | INFO | MainThread | epoch 2: new best macro_f1=0.567, saved to runs/st1-classifier-roberta-dropout2/best
2026-08-18 01:49:20,780 | INFO | MainThread | epoch 3: mean train loss = 0.5037
2026-08-18 01:49:28,840 | INFO | MainThread | epoch 3 dev metrics: accuracy=0.877, macro_f1=0.555, loss=0.397
2026-08-18 01:49:28,840 | INFO | MainThread | epoch 3 dev metrics per-label F1: digital_content_or_services=0.892, none=0.167, other=0.000, physical_goods=0.907, physical_services=0.809
2026-08-18 01:50:37,969 | INFO | MainThread | epoch 4: mean train loss = 0.4026
2026-08-18 01:50:47,314 | INFO | MainThread | epoch 4 dev metrics: accuracy=0.873, macro_f1=0.579, loss=0.383
2026-08-18 01:50:47,314 | INFO | MainThread | epoch 4 dev metrics per-label F1: digital_content_or_services=0.883, none=0.231, other=0.000, physical_goods=0.898, physical_services=0.885
2026-08-18 01:50:47,489 | INFO | MainThread | epoch 4: new best macro_f1=0.579, saved to runs/st1-classifier-roberta-dropout2/best
2026-08-18 01:52:04,717 | INFO | MainThread | epoch 5: mean train loss = 0.3361
2026-08-18 01:52:13,930 | INFO | MainThread | epoch 5 dev metrics: accuracy=0.879, macro_f1=0.599, loss=0.401
2026-08-18 01:52:13,930 | INFO | MainThread | epoch 5 dev metrics per-label F1: digital_content_or_services=0.891, none=0.312, other=0.000, physical_goods=0.906, physical_services=0.885
2026-08-18 01:52:14,023 | INFO | MainThread | epoch 5: new best macro_f1=0.599, saved to runs/st1-classifier-roberta-dropout2/best
2026-08-18 01:52:14,143 | INFO | MainThread | saved final epoch adapter to runs/st1-classifier-roberta-dropout2/last (best dev macro_f1=0.599)
2026-08-18 01:52:14,143 | INFO | MainThread | reloading best-dev checkpoint from runs/st1-classifier-roberta-dropout2/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-18 01:52:24,058 | INFO | MainThread | test holdout metrics: accuracy=0.864, macro_f1=0.563, loss=0.452
2026-08-18 01:52:24,059 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.876, none=0.385, other=0.000, physical_goods=0.901, physical_services=0.654
