2026-08-12 16:50:24,109 | INFO | MainThread | logging to runs/run_20260812_165024_lora_train_FacebookAI_roberta-base.log
2026-08-12 16:50:24,109 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'df_path': None, 'lean_prompt': False, 'max_length': 512, 'epochs': 200, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'warmup_ratio': 0.0, 'lora_r': 64, 'lora_alpha': 128, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'st2_loss_weight': 1.0, 'st3_loss_weight': 2.0, 'pos_weight': True, 'threshold': 0.5, 'no_curriculum': False, 'curriculum_floor': 0.1, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora_legalbert', 'no_wandb': True} device=cuda
2026-08-12 16:50:24,207 | INFO | MainThread | train=2353 dev=504
2026-08-12 16:52:01,504 | INFO | MainThread | epoch 1: mean train loss = 3.9811
2026-08-12 16:52:09,911 | INFO | MainThread | epoch 1 dev metrics (tuned thresholds): st1_macro_f1=0.515, st2_macro_f1=0.443, st3_macro_f1=0.403, st3_family_macro_f1=0.434, mean_macro_f1=0.454
2026-08-12 16:52:09,912 | INFO | MainThread | epoch 1 dev st1 per-label F1: digital_content_or_services=0.753, none=0.000, physical_goods=0.761, physical_services=0.545
2026-08-12 16:52:09,912 | INFO | MainThread | epoch 1 dev st2 per-label F1: apps=0.735, creator_community=0.361, education=0.345, fashion=0.488, financial=0.500, food=0.678, gambling=0.057, gambling_adjacent=0.282, hardware_electronics=0.702, health=0.677, other=0.367, toys=0.129
2026-08-12 16:52:09,912 | INFO | MainThread | epoch 1 dev st3 per-label F1: age_restricted_or_prohibited_product=0.209, direct_exhortation=0.304, hfss_food_marketing=0.444, inadequate_disclosure=0.213, insufficient_context=0.615, misleading_claim=0.555, no_flag=0.464, undisclosed_advertising=0.419
2026-08-12 16:52:09,912 | INFO | MainThread | epoch 1 dev st3_family per-label F1: content=0.571, disclosure=0.429, housekeeping=0.473, product=0.264
2026-08-12 16:52:09,949 | INFO | MainThread | epoch 1: new best mean_macro_f1=0.454, saved to runs/lora_legalbert/best
2026-08-12 16:53:45,837 | INFO | MainThread | epoch 2: mean train loss = 2.7651
2026-08-12 16:53:54,398 | INFO | MainThread | epoch 2 dev metrics (tuned thresholds): st1_macro_f1=0.601, st2_macro_f1=0.591, st3_macro_f1=0.467, st3_family_macro_f1=0.522, mean_macro_f1=0.553
2026-08-12 16:53:54,399 | INFO | MainThread | epoch 2 dev st1 per-label F1: digital_content_or_services=0.883, none=0.000, physical_goods=0.856, physical_services=0.667
2026-08-12 16:53:54,399 | INFO | MainThread | epoch 2 dev st2 per-label F1: apps=0.754, creator_community=0.417, education=0.667, fashion=0.615, financial=0.667, food=0.800, gambling=0.500, gambling_adjacent=0.400, hardware_electronics=0.785, health=0.807, other=0.458, toys=0.229
