2026-08-18 01:04:07,856 | INFO | MainThread | logging to runs/run_20260818_010407_lora_train_st1_classifier_FacebookAI_roberta-base.log
2026-08-18 01:04:07,856 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'truncation_side': 'right', 'page_token_budget': 300, 'epochs': 1, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 1, 'oversample_first': False, 'sample_size': 32, 'test_holdout': 8, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': '/tmp/smoke_budget', 'no_wandb': True} device=cuda
2026-08-18 01:04:07,993 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1806715901 train=2345 test_holdout=8
2026-08-18 01:04:07,994 | INFO | MainThread | train=32 dist=digital_content_or_services=18 (56.2%), none=1 (3.1%), other=0 (0.0%), physical_goods=10 (31.2%), physical_services=3 (9.4%)
2026-08-18 01:04:07,994 | INFO | MainThread | dev=32 dist=digital_content_or_services=16, none=3, other=0, physical_goods=13, physical_services=0
2026-08-18 01:04:07,994 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 34 instances
2026-08-18 01:04:08,086 | INFO | MainThread | class_weight: digital_content_or_services=1.889, none=11.333, other=34.000, physical_goods=3.400, physical_services=11.333
2026-08-18 01:04:10,060 | INFO | MainThread | epoch 1: mean train loss = 1.6021
2026-08-18 01:04:10,401 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.500, macro_f1=0.133, loss=1.540
2026-08-18 01:04:10,401 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.667, none=0.000, other=0.000, physical_goods=0.000, physical_services=0.000
2026-08-18 01:04:10,508 | INFO | MainThread | epoch 1: new best macro_f1=0.133, saved to /tmp/smoke_budget/best
2026-08-18 01:04:10,603 | INFO | MainThread | saved final epoch adapter to /tmp/smoke_budget/last (best dev macro_f1=0.133)
2026-08-18 01:04:10,603 | INFO | MainThread | reloading best-dev checkpoint from /tmp/smoke_budget/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-18 01:04:11,165 | INFO | MainThread | test holdout metrics: accuracy=0.625, macro_f1=0.154, loss=1.516
2026-08-18 01:04:11,165 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.769, none=0.000, other=0.000, physical_goods=0.000, physical_services=0.000
