2026-08-03 19:37:23,015 | INFO | MainThread | logging to runs/run_20260803_193723_full_gpt-5.4.log
2026-08-03 19:37:23,016 | INFO | MainThread | config: target=runs/prompt_tuning/run1/validation_batch.jsonl model=gpt-5.4 context=full sample_size=None max_concurrency=15 out=runs/submission_gpt_20260803_193723.jsonl
2026-08-03 19:37:36,020 | INFO | MainThread | wrote 100 predictions to runs/submission_gpt_20260803_193723.jsonl
2026-08-03 19:37:36,020 | INFO | MainThread | copied predictions to submission_gpt.jsonl (canonical submission file)
2026-08-03 19:37:36,020 | INFO | MainThread | wrote 82 misclassified instance(s) to runs/submission_gpt_error_20260803_193723.jsonl
2026-08-03 19:37:36,020 | INFO | MainThread | === Distinct gold labels observed, by tier ===
2026-08-03 19:37:36,020 | INFO | MainThread | [ST1 - commercial type]     ['digital_content_or_services', 'none', 'physical_goods', 'physical_services']
2026-08-03 19:37:36,020 | INFO | MainThread | [ST2 - product category]    ['apps', 'creator_community', 'education', 'fashion', 'financial', 'food', 'gambling_adjacent', 'hardware_electronics', 'health', 'other', 'toys']
2026-08-03 19:37:36,020 | INFO | MainThread | [ST3 - compliance flags]    ['age_restricted_or_prohibited_product', 'direct_exhortation', 'hfss_food_marketing', 'inadequate_disclosure', 'insufficient_context', 'misleading_claim', 'no_flag', 'undisclosed_advertising']
2026-08-03 19:37:36,020 | INFO | MainThread | Evaluation:
2026-08-03 19:37:36,020 | INFO | MainThread |   st1_macro_f1: 0.810
2026-08-03 19:37:36,021 | INFO | MainThread |   st2_macro_f1: 0.735
2026-08-03 19:37:36,021 | INFO | MainThread |   st3_macro_f1: 0.314
2026-08-03 19:37:36,021 | INFO | MainThread |   st3_family_macro_f1: 0.419
2026-08-03 19:37:36,021 | INFO | MainThread |   mean_macro_f1: 0.620
