2026-08-17 15:43:08,623 | INFO | MainThread | logging to runs/run_20260817_154308_lora_train_st1_none_FacebookAI_roberta-base.log
2026-08-17 15:43:08,623 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 256, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_none': 1, 'threshold': 0.5, 'test_holdout': 500, 'split_seed': None, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora_st1_none_roberta', 'no_wandb': True} device=cuda
2026-08-17 15:43:08,753 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1773893991 train=1853 test_holdout=500
2026-08-17 15:43:08,753 | INFO | MainThread | train=1853 (none=26, 1.4%) dev=504 (none=14, 2.8%)
2026-08-17 15:43:08,754 | INFO | MainThread | test_holdout=500 (none=9, 1.8%)
2026-08-17 15:43:08,939 | INFO | MainThread | class_weight: not_none=1.014 none=50.000
2026-08-17 15:44:31,681 | INFO | MainThread | epoch 1: mean train loss = 0.7372
2026-08-17 15:44:41,273 | INFO | MainThread | epoch 1 dev loss=0.1270, metrics (threshold=0.05): accuracy=0.972, none_precision=0.000, none_recall=0.000, none_f1=0.000, not_none_f1=0.986, macro_f1=0.493, tp=0, fp=0, fn=14, tn=490
2026-08-17 15:44:41,603 | INFO | MainThread | epoch 1: new best macro_f1=0.493, saved to runs/lora_st1_none_roberta/best
2026-08-17 15:46:02,616 | INFO | MainThread | epoch 2: mean train loss = 0.6817
2026-08-17 15:46:12,121 | INFO | MainThread | epoch 2 dev loss=0.1233, metrics (threshold=0.05): accuracy=0.972, none_precision=0.000, none_recall=0.000, none_f1=0.000, not_none_f1=0.986, macro_f1=0.493, tp=0, fp=0, fn=14, tn=490
2026-08-17 15:47:33,119 | INFO | MainThread | epoch 3: mean train loss = 0.5922
2026-08-17 15:47:42,585 | INFO | MainThread | epoch 3 dev loss=0.1317, metrics (threshold=0.05): accuracy=0.972, none_precision=0.000, none_recall=0.000, none_f1=0.000, not_none_f1=0.986, macro_f1=0.493, tp=0, fp=0, fn=14, tn=490
2026-08-17 15:49:03,673 | INFO | MainThread | epoch 4: mean train loss = 0.6202
2026-08-17 15:49:13,261 | INFO | MainThread | epoch 4 dev loss=0.1095, metrics (threshold=0.05): accuracy=0.970, none_precision=0.429, none_recall=0.214, none_f1=0.286, not_none_f1=0.985, macro_f1=0.635, tp=3, fp=4, fn=11, tn=486
2026-08-17 15:49:13,596 | INFO | MainThread | epoch 4: new best macro_f1=0.635, saved to runs/lora_st1_none_roberta/best
2026-08-17 15:50:35,554 | INFO | MainThread | epoch 5: mean train loss = 0.4495
2026-08-17 15:50:45,035 | INFO | MainThread | epoch 5 dev loss=0.1069, metrics (threshold=0.05): accuracy=0.972, none_precision=0.500, none_recall=0.357, none_f1=0.417, not_none_f1=0.986, macro_f1=0.701, tp=5, fp=5, fn=9, tn=485
2026-08-17 15:50:45,284 | INFO | MainThread | epoch 5: new best macro_f1=0.701, saved to runs/lora_st1_none_roberta/best
2026-08-17 15:50:45,600 | INFO | MainThread | saved final epoch adapter to runs/lora_st1_none_roberta/last (best dev macro_f1=0.701)
2026-08-17 15:50:45,600 | INFO | MainThread | reloading best-dev checkpoint from runs/lora_st1_none_roberta/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-17 15:50:55,570 | INFO | MainThread | test holdout loss=0.0875 (best-dev threshold=0.05): accuracy=0.980, none_precision=0.000, none_recall=0.000, none_f1=0.000, not_none_f1=0.990, macro_f1=0.495, tp=0, fp=1, fn=9, tn=490
