2026-08-07 19:09:18,009 | INFO | MainThread | logging to runs/run_20260807_190918_lora_train_nlpaueb_legal-bert-base-uncased.log
2026-08-07 19:09:18,009 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'nlpaueb/legal-bert-base-uncased', 'context': 'full', 'max_length': 512, 'epochs': 200, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'st2_loss_weight': 1.0, 'st3_loss_weight': 1.0, 'pos_weight': False, 'threshold': 0.5, 'sample_size': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora_legalbert', 'no_wandb': True} device=cuda
2026-08-07 19:09:18,140 | INFO | MainThread | train=2353 dev=504
2026-08-07 19:12:23,259 | INFO | MainThread | epoch 1: mean train loss = 2.9680
2026-08-07 19:12:32,476 | INFO | MainThread | epoch 1 dev metrics: st1_macro_f1=0.140, st2_macro_f1=0.086, st3_macro_f1=0.077, st3_family_macro_f1=0.206, mean_macro_f1=0.101
2026-08-07 19:12:32,514 | INFO | MainThread | epoch 1: new best mean_macro_f1=0.101, saved to runs/lora_legalbert/best
2026-08-07 19:14:07,241 | INFO | MainThread | epoch 2: mean train loss = 1.8784
2026-08-07 19:14:16,574 | INFO | MainThread | epoch 2 dev metrics: st1_macro_f1=0.289, st2_macro_f1=0.000, st3_macro_f1=0.140, st3_family_macro_f1=0.204, mean_macro_f1=0.143
2026-08-07 19:14:16,583 | INFO | MainThread | epoch 2: new best mean_macro_f1=0.143, saved to runs/lora_legalbert/best
2026-08-07 19:15:51,372 | INFO | MainThread | epoch 3: mean train loss = 1.5990
2026-08-07 19:16:00,870 | INFO | MainThread | epoch 3 dev metrics: st1_macro_f1=0.329, st2_macro_f1=0.000, st3_macro_f1=0.111, st3_family_macro_f1=0.229, mean_macro_f1=0.146
2026-08-07 19:16:00,879 | INFO | MainThread | epoch 3: new best mean_macro_f1=0.146, saved to runs/lora_legalbert/best
2026-08-07 19:17:36,296 | INFO | MainThread | epoch 4: mean train loss = 1.4665
2026-08-07 19:17:45,684 | INFO | MainThread | epoch 4 dev metrics: st1_macro_f1=0.389, st2_macro_f1=0.000, st3_macro_f1=0.100, st3_family_macro_f1=0.269, mean_macro_f1=0.163
2026-08-07 19:17:45,692 | INFO | MainThread | epoch 4: new best mean_macro_f1=0.163, saved to runs/lora_legalbert/best
2026-08-07 19:19:22,736 | INFO | MainThread | epoch 5: mean train loss = 1.3088
2026-08-07 19:19:32,294 | INFO | MainThread | epoch 5 dev metrics: st1_macro_f1=0.559, st2_macro_f1=0.035, st3_macro_f1=0.105, st3_family_macro_f1=0.276, mean_macro_f1=0.233
2026-08-07 19:19:32,301 | INFO | MainThread | epoch 5: new best mean_macro_f1=0.233, saved to runs/lora_legalbert/best
2026-08-07 19:21:08,622 | INFO | MainThread | epoch 6: mean train loss = 1.2111
2026-08-07 19:21:18,175 | INFO | MainThread | epoch 6 dev metrics: st1_macro_f1=0.579, st2_macro_f1=0.098, st3_macro_f1=0.104, st3_family_macro_f1=0.279, mean_macro_f1=0.260
2026-08-07 19:21:18,184 | INFO | MainThread | epoch 6: new best mean_macro_f1=0.260, saved to runs/lora_legalbert/best
