2026-08-14 06:50:30,415 | INFO | MainThread | logging to runs/run_20260814_065030_lora_train_generative_principled-intelligence_gemma-4-E2B-it-text-only.log
2026-08-14 06:50:30,415 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'principled-intelligence/gemma-4-E2B-it-text-only', 'model_path': None, 'context': 'full', 'lean_prompt': True, 'df_path': 'emnllp-dialog-flow-dialog-flow.json', 'max_length': 2048, 'epochs': 1, 'batch_size': 1, 'eval_batch_size': 4, 'grad_accum_steps': 4, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'q_proj,o_proj', 'peft_method': 'lora', 'num_virtual_tokens': 20, 'prompt_tuning_init_text': None, 'st3_loss_weight': 1.0, 'pos_weight': False, 'oversample_rare_st3': 1, 'load_in_4bit': False, 'parallelism': 'none', 'max_new_tokens': 128, 'sample_size': 100, 'test_holdout': 20, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora-gemma4e2b', 'checkpoint_save_path': None} device=cuda
2026-08-14 06:50:30,567 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1844212737 train=2333 test_holdout=20
2026-08-14 06:50:30,568 | INFO | MainThread | train=100 dev=100
2026-08-14 06:50:30,568 | INFO | MainThread | loading model/tokenizer from local path models/principled-intelligence/gemma-4-E2B-it-text-only (no remote download)
2026-08-14 06:51:43,426 | INFO | MainThread | system prompt: lean (1698 chars) + dialog flow from emnllp-dialog-flow-dialog-flow.json (4654 chars)
2026-08-14 06:54:12,466 | INFO | MainThread | epoch 1: mean train loss = 3.3113
2026-08-14 07:01:12,901 | INFO | MainThread | epoch 1 dev metrics: st1_macro_f1=0.649, st2_macro_f1=0.557, st3_macro_f1=0.480, st3_family_macro_f1=0.545, mean_macro_f1=0.562
2026-08-14 07:01:12,901 | INFO | MainThread | epoch 1 dev st1 per-label F1: digital_content_or_services=0.685, none=1.000, other=0.000, physical_goods=0.789, physical_services=0.769
2026-08-14 07:01:12,901 | INFO | MainThread | epoch 1 dev st2 per-label F1: apps=0.706, creator_community=0.444, education=0.667, fashion=0.588, financial=0.667, food=0.667, gambling=0.000, gambling_adjacent=0.667, hardware_electronics=0.851, health=0.733, other=0.700, toys=0.000
2026-08-14 07:01:12,901 | INFO | MainThread | epoch 1 dev st3 per-label F1: age_restricted_or_prohibited_product=0.000, direct_exhortation=0.522, hfss_food_marketing=0.667, inadequate_disclosure=0.710, insufficient_context=0.000, misleading_claim=0.676, no_flag=0.929, undisclosed_advertising=0.333
2026-08-14 07:01:12,901 | INFO | MainThread | epoch 1 dev st3_family per-label F1: content=0.658, disclosure=0.571, housekeeping=0.619, product=0.333
2026-08-14 07:01:12,953 | INFO | MainThread | epoch 1: new best mean_macro_f1=0.562, saved to runs/lora-gemma4e2b/best
2026-08-14 07:01:12,995 | INFO | MainThread | saved final epoch adapter to runs/lora-gemma4e2b/last (best dev mean_macro_f1=0.562)
2026-08-14 07:01:12,995 | INFO | MainThread | best dev metrics: st1_macro_f1=0.649, st2_macro_f1=0.557, st3_macro_f1=0.480, st3_family_macro_f1=0.545, mean_macro_f1=0.562
2026-08-14 07:01:12,995 | INFO | MainThread | reloading best-dev checkpoint from runs/lora-gemma4e2b/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-14 07:03:34,879 | INFO | MainThread | test holdout metrics: st1_macro_f1=0.427, st2_macro_f1=0.471, st3_macro_f1=0.356, st3_family_macro_f1=0.417, mean_macro_f1=0.418
2026-08-14 07:03:34,880 | INFO | MainThread | st1 per-label F1: digital_content_or_services=0.545, other=0.000, physical_goods=0.737
2026-08-14 07:03:34,880 | INFO | MainThread | st2 per-label F1: apps=0.667, creator_community=0.000, fashion=0.333, financial=0.000, food=0.800, gambling_adjacent=0.000, hardware_electronics=0.909, health=1.000, other=0.000, toys=1.000
2026-08-14 07:03:34,880 | INFO | MainThread | st3 per-label F1: age_restricted_or_prohibited_product=0.000, inadequate_disclosure=0.762, insufficient_context=0.000, misleading_claim=0.571, no_flag=0.800, undisclosed_advertising=0.000
2026-08-14 07:03:34,880 | INFO | MainThread | st3_family per-label F1: content=0.571, disclosure=0.696, housekeeping=0.400, product=0.000
