2026-08-17 21:41:23,699 | INFO | MainThread | logging to runs/run_20260817_214123_lora_train_st1_classifier_FacebookAI_roberta-base.log
2026-08-17 21:41:23,699 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 2, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/st1-classifier-roberta-oversample2-rep2', 'no_wandb': True} device=cuda
2026-08-17 21:41:23,838 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1338939090 train=1853 test_holdout=500
2026-08-17 21:41:23,839 | INFO | MainThread | train=1853 dist=digital_content_or_services=840 (45.3%), none=28 (1.5%), other=2 (0.1%), physical_goods=886 (47.8%), physical_services=97 (5.2%)
2026-08-17 21:41:23,840 | INFO | MainThread | dev=504 dist=digital_content_or_services=248, none=14, other=0, physical_goods=218, physical_services=24
2026-08-17 21:41:23,840 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 2x: train now 1883 instances
2026-08-17 21:41:23,953 | INFO | MainThread | class_weight: digital_content_or_services=2.242, none=33.625, other=50.000, physical_goods=2.125, physical_services=19.412
2026-08-17 21:42:07,336 | INFO | MainThread | epoch 1: mean train loss = 1.4845
2026-08-17 21:42:12,798 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.754, macro_f1=0.399, loss=0.873
2026-08-17 21:42:12,798 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.786, none=0.000, other=0.000, physical_goods=0.789, physical_services=0.419
2026-08-17 21:42:12,906 | INFO | MainThread | epoch 1: new best macro_f1=0.399, saved to runs/st1-classifier-roberta-oversample2-rep2/best
2026-08-17 21:42:55,225 | INFO | MainThread | epoch 2: mean train loss = 0.9713
2026-08-17 21:43:00,705 | INFO | MainThread | epoch 2 dev metrics: accuracy=0.821, macro_f1=0.539, loss=0.497
2026-08-17 21:43:00,705 | INFO | MainThread | epoch 2 dev metrics per-label F1: digital_content_or_services=0.849, none=0.364, other=0.000, physical_goods=0.844, physical_services=0.636
2026-08-17 21:43:00,788 | INFO | MainThread | epoch 2: new best macro_f1=0.539, saved to runs/st1-classifier-roberta-oversample2-rep2/best
2026-08-17 21:43:43,250 | INFO | MainThread | epoch 3: mean train loss = 0.7090
2026-08-17 21:43:48,784 | INFO | MainThread | epoch 3 dev metrics: accuracy=0.835, macro_f1=0.550, loss=0.455
2026-08-17 21:43:48,784 | INFO | MainThread | epoch 3 dev metrics per-label F1: digital_content_or_services=0.858, none=0.378, other=0.000, physical_goods=0.865, physical_services=0.650
2026-08-17 21:43:48,879 | INFO | MainThread | epoch 3: new best macro_f1=0.550, saved to runs/st1-classifier-roberta-oversample2-rep2/best
2026-08-17 21:44:31,425 | INFO | MainThread | epoch 4: mean train loss = 0.5592
2026-08-17 21:44:36,921 | INFO | MainThread | epoch 4 dev metrics: accuracy=0.843, macro_f1=0.570, loss=0.480
2026-08-17 21:44:36,922 | INFO | MainThread | epoch 4 dev metrics per-label F1: digital_content_or_services=0.868, none=0.350, other=0.000, physical_goods=0.873, physical_services=0.759
2026-08-17 21:44:37,019 | INFO | MainThread | epoch 4: new best macro_f1=0.570, saved to runs/st1-classifier-roberta-oversample2-rep2/best
2026-08-17 21:45:19,526 | INFO | MainThread | epoch 5: mean train loss = 0.5131
2026-08-17 21:45:25,019 | INFO | MainThread | epoch 5 dev metrics: accuracy=0.847, macro_f1=0.574, loss=0.455
2026-08-17 21:45:25,019 | INFO | MainThread | epoch 5 dev metrics per-label F1: digital_content_or_services=0.868, none=0.368, other=0.000, physical_goods=0.876, physical_services=0.760
2026-08-17 21:45:25,112 | INFO | MainThread | epoch 5: new best macro_f1=0.574, saved to runs/st1-classifier-roberta-oversample2-rep2/best
2026-08-17 21:45:25,205 | INFO | MainThread | saved final epoch adapter to runs/st1-classifier-roberta-oversample2-rep2/last (best dev macro_f1=0.574)
2026-08-17 21:45:25,205 | INFO | MainThread | reloading best-dev checkpoint from runs/st1-classifier-roberta-oversample2-rep2/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-17 21:45:31,220 | INFO | MainThread | test holdout metrics: accuracy=0.842, macro_f1=0.532, loss=0.469
2026-08-17 21:45:31,220 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.876, none=0.160, other=0.000, physical_goods=0.862, physical_services=0.764
