2026-08-17 15:42:47,513 | INFO | MainThread | logging to runs/run_20260817_154247_lora_train_st1_none_FacebookAI_roberta-base.log
2026-08-17 15:42:47,513 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'epochs': 2, 'batch_size': 4, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_none': 1, 'threshold': 0.5, 'test_holdout': 8, 'split_seed': None, 'sample_size': 24, 'seed': 42, 'device': None, 'output_dir': '/tmp/claude-1000/-home-k6-Github-childsafeads-emnllp/513566b6-4435-4460-b636-d8198d38922c/scratchpad/lora_smoke_st1_none_holdout', 'no_wandb': True} device=cuda
2026-08-17 15:42:47,644 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=593180224 train=2345 test_holdout=8
2026-08-17 15:42:47,645 | INFO | MainThread | train=24 (none=0, 0.0%) dev=24 (none=4, 16.7%)
2026-08-17 15:42:47,646 | INFO | MainThread | test_holdout=8 (none=0, 0.0%)
2026-08-17 15:42:47,916 | INFO | MainThread | class_weight: not_none=1.000 none=24.000
2026-08-17 15:42:51,148 | INFO | MainThread | epoch 1: mean train loss = 0.4238
2026-08-17 15:42:51,641 | INFO | MainThread | epoch 1 dev loss=0.4646, metrics (threshold=0.05): accuracy=0.167, none_precision=0.167, none_recall=1.000, none_f1=0.286, not_none_f1=0.000, macro_f1=0.143, tp=4, fp=20, fn=0, tn=0
2026-08-17 15:42:51,807 | INFO | MainThread | epoch 1: new best macro_f1=0.143, saved to /tmp/claude-1000/-home-k6-Github-childsafeads-emnllp/513566b6-4435-4460-b636-d8198d38922c/scratchpad/lora_smoke_st1_none_holdout/best
2026-08-17 15:42:52,803 | INFO | MainThread | epoch 2: mean train loss = 0.2464
2026-08-17 15:42:53,214 | INFO | MainThread | epoch 2 dev loss=0.4463, metrics (threshold=0.05): accuracy=0.167, none_precision=0.167, none_recall=1.000, none_f1=0.286, not_none_f1=0.000, macro_f1=0.143, tp=4, fp=20, fn=0, tn=0
2026-08-17 15:42:53,371 | INFO | MainThread | saved final epoch adapter to /tmp/claude-1000/-home-k6-Github-childsafeads-emnllp/513566b6-4435-4460-b636-d8198d38922c/scratchpad/lora_smoke_st1_none_holdout/last (best dev macro_f1=0.143)
2026-08-17 15:42:53,371 | INFO | MainThread | reloading best-dev checkpoint from /tmp/claude-1000/-home-k6-Github-childsafeads-emnllp/513566b6-4435-4460-b636-d8198d38922c/scratchpad/lora_smoke_st1_none_holdout/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-17 15:42:54,082 | INFO | MainThread | test holdout loss=0.2731 (best-dev threshold=0.05): accuracy=0.000, none_precision=0.000, none_recall=0.000, none_f1=0.000, not_none_f1=0.000, macro_f1=0.000, tp=0, fp=8, fn=0, tn=0
