2026-08-17 22:02:22,678 | INFO | MainThread | logging to runs/run_20260817_220222_lora_train_st1_classifier_FacebookAI_roberta-base.log
2026-08-17 22:02:22,679 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 2, 'oversample_first': True, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/st1-classifier-roberta-oversample3-undersample2', 'no_wandb': True} device=cuda
2026-08-17 22:02:22,876 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1066824526 train=1853 test_holdout=500
2026-08-17 22:02:22,879 | INFO | MainThread | train=1853 dist=digital_content_or_services=843 (45.5%), none=33 (1.8%), other=0 (0.0%), physical_goods=878 (47.4%), physical_services=99 (5.3%)
2026-08-17 22:02:22,879 | INFO | MainThread | dev=504 dist=digital_content_or_services=248, none=14, other=0, physical_goods=218, physical_services=24
2026-08-17 22:02:22,880 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 1919 instances
2026-08-17 22:02:22,883 | INFO | MainThread | undersampled majority st1 labels ['digital_content_or_services', 'none', 'physical_goods', 'physical_services'] to 1/2: train now 958 instances
2026-08-17 22:02:23,231 | INFO | MainThread | class_weight: digital_content_or_services=2.276, none=19.551, other=50.000, physical_goods=2.182, physical_services=19.551
2026-08-17 22:03:39,228 | INFO | MainThread | epoch 1: mean train loss = 1.4654
2026-08-17 22:03:53,655 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.431, macro_f1=0.121, loss=1.206
2026-08-17 22:03:53,655 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.000, none=0.000, other=0.000, physical_goods=0.604, physical_services=0.000
2026-08-17 22:03:53,761 | INFO | MainThread | epoch 1: new best macro_f1=0.121, saved to runs/st1-classifier-roberta-oversample3-undersample2/best
2026-08-17 22:04:43,699 | INFO | MainThread | epoch 2: mean train loss = 1.2830
2026-08-17 22:04:51,813 | INFO | MainThread | epoch 2 dev metrics: accuracy=0.786, macro_f1=0.527, loss=0.747
2026-08-17 22:04:51,814 | INFO | MainThread | epoch 2 dev metrics per-label F1: digital_content_or_services=0.808, none=0.417, other=0.000, physical_goods=0.797, physical_services=0.615
2026-08-17 22:04:51,916 | INFO | MainThread | epoch 2: new best macro_f1=0.527, saved to runs/st1-classifier-roberta-oversample3-undersample2/best
2026-08-17 22:05:13,558 | INFO | MainThread | epoch 3: mean train loss = 0.9118
2026-08-17 22:05:19,050 | INFO | MainThread | epoch 3 dev metrics: accuracy=0.804, macro_f1=0.520, loss=0.518
2026-08-17 22:05:19,051 | INFO | MainThread | epoch 3 dev metrics per-label F1: digital_content_or_services=0.859, none=0.400, other=0.000, physical_goods=0.801, physical_services=0.542
2026-08-17 22:05:40,648 | INFO | MainThread | epoch 4: mean train loss = 0.6185
2026-08-17 22:05:46,128 | INFO | MainThread | epoch 4 dev metrics: accuracy=0.845, macro_f1=0.567, loss=0.477
2026-08-17 22:05:46,128 | INFO | MainThread | epoch 4 dev metrics per-label F1: digital_content_or_services=0.873, none=0.400, other=0.000, physical_goods=0.862, physical_services=0.700
2026-08-17 22:05:46,213 | INFO | MainThread | epoch 4: new best macro_f1=0.567, saved to runs/st1-classifier-roberta-oversample3-undersample2/best
2026-08-17 22:06:07,797 | INFO | MainThread | epoch 5: mean train loss = 0.5430
2026-08-17 22:06:13,280 | INFO | MainThread | epoch 5 dev metrics: accuracy=0.843, macro_f1=0.554, loss=0.475
2026-08-17 22:06:13,281 | INFO | MainThread | epoch 5 dev metrics per-label F1: digital_content_or_services=0.873, none=0.353, other=0.000, physical_goods=0.862, physical_services=0.683
2026-08-17 22:06:13,389 | INFO | MainThread | saved final epoch adapter to runs/st1-classifier-roberta-oversample3-undersample2/last (best dev macro_f1=0.567)
2026-08-17 22:06:13,390 | INFO | MainThread | reloading best-dev checkpoint from runs/st1-classifier-roberta-oversample3-undersample2/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-17 22:06:19,413 | INFO | MainThread | test holdout metrics: accuracy=0.848, macro_f1=0.515, loss=0.483
2026-08-17 22:06:19,413 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.866, none=0.143, other=0.000, physical_goods=0.868, physical_services=0.698
