2026-08-17 20:51:22,708 | INFO | MainThread | logging to runs/run_20260817_205122_lora_train_st1_none_FacebookAI_roberta-base.log
2026-08-17 20:51:22,709 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_none': 3, 'threshold': 0.5, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/st1-none-roberta-classweight-oversample', 'no_wandb': True} device=cuda
2026-08-17 20:51:22,846 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1265106354 train=1853 test_holdout=500
2026-08-17 20:51:22,848 | INFO | MainThread | train=1853 (none=26, 1.4%) dev=504 (none=14, 2.8%)
2026-08-17 20:51:22,849 | INFO | MainThread | oversampled none 3x: train now 1905 instances
2026-08-17 20:51:22,975 | INFO | MainThread | class_weight: not_none=1.043 none=24.423
2026-08-17 20:52:07,374 | INFO | MainThread | epoch 1: mean train loss = 0.6364
2026-08-17 20:52:12,892 | INFO | MainThread | epoch 1 dev metrics (threshold=0.10): accuracy=0.974, none_precision=0.556, none_recall=0.357, none_f1=0.435, not_none_f1=0.987, macro_f1=0.711, tp=5, fp=4, fn=9, tn=486, loss=0.103
2026-08-17 20:52:12,992 | INFO | MainThread | epoch 1: new best macro_f1=0.711, saved to runs/st1-none-roberta-classweight-oversample/best
2026-08-17 20:52:56,073 | INFO | MainThread | epoch 2: mean train loss = 0.8370
2026-08-17 20:53:01,582 | INFO | MainThread | epoch 2 dev metrics (threshold=0.35): accuracy=0.976, none_precision=0.625, none_recall=0.357, none_f1=0.455, not_none_f1=0.988, macro_f1=0.721, tp=5, fp=3, fn=9, tn=487, loss=0.103
2026-08-17 20:53:01,696 | INFO | MainThread | epoch 2: new best macro_f1=0.721, saved to runs/st1-none-roberta-classweight-oversample/best
2026-08-17 20:53:44,947 | INFO | MainThread | epoch 3: mean train loss = 0.4331
2026-08-17 20:53:50,518 | INFO | MainThread | epoch 3 dev metrics (threshold=0.90): accuracy=0.982, none_precision=1.000, none_recall=0.357, none_f1=0.526, not_none_f1=0.991, macro_f1=0.759, tp=5, fp=0, fn=9, tn=490, loss=0.114
2026-08-17 20:53:50,636 | INFO | MainThread | epoch 3: new best macro_f1=0.759, saved to runs/st1-none-roberta-classweight-oversample/best
2026-08-17 20:54:36,079 | INFO | MainThread | epoch 4: mean train loss = 0.3220
2026-08-17 20:54:41,903 | INFO | MainThread | epoch 4 dev metrics (threshold=0.80): accuracy=0.982, none_precision=1.000, none_recall=0.357, none_f1=0.526, not_none_f1=0.991, macro_f1=0.759, tp=5, fp=0, fn=9, tn=490, loss=0.113
2026-08-17 20:55:27,259 | INFO | MainThread | epoch 5: mean train loss = 0.2142
2026-08-17 20:55:32,954 | INFO | MainThread | epoch 5 dev metrics (threshold=0.70): accuracy=0.982, none_precision=1.000, none_recall=0.357, none_f1=0.526, not_none_f1=0.991, macro_f1=0.759, tp=5, fp=0, fn=9, tn=490, loss=0.118
2026-08-17 20:55:33,066 | INFO | MainThread | saved final epoch adapter to runs/st1-none-roberta-classweight-oversample/last (best dev macro_f1=0.759)
2026-08-17 20:55:33,066 | INFO | MainThread | reloading best-dev checkpoint from runs/st1-none-roberta-classweight-oversample/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-17 20:55:39,212 | INFO | MainThread | test holdout metrics (threshold=0.90, from best dev checkpoint): accuracy=0.974, none_precision=0.250, none_recall=0.222, none_f1=0.235, not_none_f1=0.987, macro_f1=0.611, tp=2, fp=6, fn=7, tn=485, loss=0.164
