2026-08-18 01:23:39,680 | INFO | MainThread | logging to runs/run_20260818_012339_lora_train_st1_classifier_allenai_longformer-base-4096.log
2026-08-18 01:23:39,680 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'allenai/longformer-base-4096', 'local': True, 'context': 'full', 'max_length': 4096, 'truncation_side': 'left', 'page_token_budget': None, 'epochs': 1, 'batch_size': 2, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 1, 'oversample_first': False, 'sample_size': 16, 'test_holdout': 8, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': '/tmp/smoke_lf4096b2', 'no_wandb': True} device=cuda
2026-08-18 01:23:39,818 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=548115928 train=2345 test_holdout=8
2026-08-18 01:23:39,819 | INFO | MainThread | train=16 dist=digital_content_or_services=7 (43.8%), none=0 (0.0%), other=0 (0.0%), physical_goods=8 (50.0%), physical_services=1 (6.2%)
2026-08-18 01:23:39,819 | INFO | MainThread | dev=16 dist=digital_content_or_services=8, none=0, other=0, physical_goods=7, physical_services=1
2026-08-18 01:23:39,819 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 16 instances
2026-08-18 01:23:39,915 | INFO | MainThread | class_weight: digital_content_or_services=2.286, none=16.000, other=16.000, physical_goods=2.000, physical_services=16.000
2026-08-18 01:23:49,749 | INFO | MainThread | epoch 1: mean train loss = 1.4729
2026-08-18 01:23:52,782 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.438, macro_f1=0.122, loss=1.336
2026-08-18 01:23:52,782 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.000, none=0.000, other=0.000, physical_goods=0.609, physical_services=0.000
2026-08-18 01:23:52,809 | INFO | MainThread | epoch 1: new best macro_f1=0.122, saved to /tmp/smoke_lf4096b2/best
2026-08-18 01:23:52,832 | INFO | MainThread | saved final epoch adapter to /tmp/smoke_lf4096b2/last (best dev macro_f1=0.122)
2026-08-18 01:23:52,832 | INFO | MainThread | reloading best-dev checkpoint from /tmp/smoke_lf4096b2/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-18 01:23:54,985 | INFO | MainThread | test holdout metrics: accuracy=0.375, macro_f1=0.109, loss=1.403
2026-08-18 01:23:54,986 | INFO | MainThread | test holdout metrics per-label F1: digital_content_or_services=0.000, none=0.000, other=0.000, physical_goods=0.545, physical_services=0.000
