2026-08-15 16:46:14,629 | INFO | MainThread | logging to runs/run_20260815_164614_lora_train_generative_Qwen_Qwen3-4B.log
2026-08-15 16:46:14,629 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'Qwen/Qwen3-4B', 'model_path': '/home/ubuntu/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c', 'context': 'full', 'lean_prompt': True, 'df_path': 'emnllp-dialog-flow-dialog-flow.json', 'max_length': 4096, 'epochs': 3, 'batch_size': 1, 'eval_batch_size': 8, 'eval_every': 3, 'grad_accum_steps': 4, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'q_proj,v_proj', 'peft_method': 'lora', 'num_virtual_tokens': 20, 'prompt_tuning_init_text': None, 'st3_loss_weight': 1.0, 'pos_weight': False, 'oversample_rare_st3': 1, 'st3_only': False, 'st12_only': True, 'load_in_4bit': False, 'parallelism': 'none', 'max_new_tokens': 128, 'sample_size': 30, 'test_holdout': 10, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora-qwen3-4b-smoke-bf16-full-retry', 'checkpoint_save_path': None} device=cuda
2026-08-15 16:46:14,775 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1633664098 train=2343 test_holdout=10
2026-08-15 16:46:14,776 | INFO | MainThread | train=30 dev=30
2026-08-15 16:46:14,776 | INFO | MainThread | loading model/tokenizer from local path /home/ubuntu/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c (no remote download)
2026-08-15 16:46:59,467 | INFO | MainThread | system prompt: lean (1698 chars) + dialog flow from emnllp-dialog-flow-dialog-flow.json (4654 chars)
2026-08-15 16:46:59,468 | INFO | MainThread | --st12-only: completion is {"st1":...,"st2":[...]} alone; st3 in logged metrics is a fixed placeholder, read st1_macro_f1/st2_macro_f1 only; best-checkpoint selection uses mean(st1_macro_f1, st2_macro_f1) instead of mean_macro_f1
2026-08-15 16:47:56,295 | INFO | MainThread | epoch 1: mean train loss = 6.3068
2026-08-15 16:47:56,296 | INFO | MainThread | epoch 1: train input length (tokens, unpadded) -- min=1769 mean=2559 max=4018 n=30
2026-08-15 16:48:48,665 | INFO | MainThread | epoch 2: mean train loss = 3.1300
2026-08-15 16:48:48,666 | INFO | MainThread | epoch 2: train input length (tokens, unpadded) -- min=1769 mean=2559 max=4018 n=30
