2026-08-15 16:53:55,586 | INFO | MainThread | logging to runs/run_20260815_165355_lora_train_generative_Qwen_Qwen3-4B.log
2026-08-15 16:53:55,586 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'Qwen/Qwen3-4B', 'model_path': '/home/ubuntu/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c', 'context': 'full', 'lean_prompt': True, 'df_path': 'emnllp-dialog-flow-dialog-flow.json', 'max_length': 4096, 'epochs': 2, 'batch_size': 1, 'eval_batch_size': 8, 'eval_every': 2, 'grad_accum_steps': 4, 'lr': 0.0002, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'q_proj,v_proj', 'peft_method': 'lora', 'num_virtual_tokens': 20, 'prompt_tuning_init_text': None, 'st3_loss_weight': 1.0, 'pos_weight': True, 'oversample_rare_st3': 1, 'st3_only': False, 'st12_only': True, 'load_in_4bit': False, 'parallelism': 'none', 'max_new_tokens': 128, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/lora-qwen3-4b-2epoch', 'checkpoint_save_path': None} device=cuda
2026-08-15 16:53:55,732 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=2124597458 train=1853 test_holdout=500
2026-08-15 16:53:55,732 | INFO | MainThread | train=1853 dev=504
2026-08-15 16:53:55,732 | INFO | MainThread | loading model/tokenizer from local path /home/ubuntu/.cache/huggingface/hub/models--Qwen--Qwen3-4B/snapshots/1cfa9a7208912126459214e8b04321603b3df60c (no remote download)
2026-08-15 16:54:45,062 | INFO | MainThread | system prompt: lean (1698 chars) + dialog flow from emnllp-dialog-flow-dialog-flow.json (4654 chars)
2026-08-15 16:54:45,124 | INFO | MainThread | pos_weight st2: {'apps': 2.6986026763916016, 'creator_community': 7.823809623718262, 'education': 15.693694114685059, 'fashion': 7.951690673828125, 'financial': 17.530000686645508, 'food': 7.1629958152771, 'gambling': 50.0, 'gambling_adjacent': 23.706666946411133, 'hardware_electronics': 3.4436450004577637, 'health': 7.578703880310059, 'other': 4.598187446594238, 'toys': 28.887096405029297}
2026-08-15 16:54:45,125 | INFO | MainThread | pos_weight st3: {'age_restricted_or_prohibited_product': 35.33333206176758, 'direct_exhortation': 6.471774101257324, 'hfss_food_marketing': 50.0, 'inadequate_disclosure': 2.8604166507720947, 'insufficient_context': 50.0, 'misleading_claim': 0.8493013978004456, 'no_flag': 3.530562400817871, 'undisclosed_advertising': 6.01893949508667}
2026-08-15 16:54:45,125 | INFO | MainThread | --st12-only: completion is {"st1":...,"st2":[...]} alone; st3 in logged metrics is a fixed placeholder, read st1_macro_f1/st2_macro_f1 only; best-checkpoint selection uses mean(st1_macro_f1, st2_macro_f1) instead of mean_macro_f1
2026-08-15 17:53:52,372 | INFO | MainThread | epoch 1: mean train loss = 0.7151
2026-08-15 17:53:52,373 | INFO | MainThread | epoch 1: train input length (tokens, unpadded) -- min=1597 mean=2792 max=4027 n=1853
2026-08-15 18:52:54,278 | INFO | MainThread | epoch 2: mean train loss = 0.0784
2026-08-15 18:52:54,278 | INFO | MainThread | epoch 2: train input length (tokens, unpadded) -- min=1597 mean=2792 max=4027 n=1853
