2026-08-18 01:24:15,482 | INFO | MainThread | logging to runs/run_20260818_012415_lora_train_st1_classifier_allenai_longformer-base-4096.log
2026-08-18 01:24:15,482 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'allenai/longformer-base-4096', 'local': True, 'context': 'full', 'max_length': 4096, 'truncation_side': 'left', 'page_token_budget': None, 'epochs': 5, 'batch_size': 2, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'undersample_majority_st1': 1, 'oversample_first': False, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/st1-classifier-longformer', 'no_wandb': True} device=cuda
2026-08-18 01:24:15,621 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=1917261331 train=1853 test_holdout=500
2026-08-18 01:24:15,623 | INFO | MainThread | train=1853 dist=digital_content_or_services=857 (46.2%), none=27 (1.5%), other=2 (0.1%), physical_goods=872 (47.1%), physical_services=95 (5.1%)
2026-08-18 01:24:15,623 | INFO | MainThread | dev=504 dist=digital_content_or_services=248, none=14, other=0, physical_goods=218, physical_services=24
2026-08-18 01:24:15,623 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 1911 instances
2026-08-18 01:24:15,741 | INFO | MainThread | class_weight: digital_content_or_services=2.230, none=23.593, other=50.000, physical_goods=2.192, physical_services=20.116
2026-08-18 01:46:55,620 | INFO | MainThread | epoch 1: mean train loss = 0.9499
2026-08-18 01:50:21,227 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.879, macro_f1=0.569, loss=0.701
2026-08-18 01:50:21,227 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.895, none=0.353, other=0.000, physical_goods=0.895, physical_services=0.703
2026-08-18 01:50:21,254 | INFO | MainThread | epoch 1: new best macro_f1=0.569, saved to runs/st1-classifier-longformer/best
2026-08-18 02:09:19,249 | INFO | MainThread | epoch 2: mean train loss = 0.5135
2026-08-18 02:10:38,411 | INFO | MainThread | epoch 2 dev metrics: accuracy=0.883, macro_f1=0.615, loss=0.649
2026-08-18 02:10:38,412 | INFO | MainThread | epoch 2 dev metrics per-label F1: digital_content_or_services=0.895, none=0.593, other=0.000, physical_goods=0.909, physical_services=0.681
2026-08-18 02:10:38,430 | INFO | MainThread | epoch 2: new best macro_f1=0.615, saved to runs/st1-classifier-longformer/best
